,date,target,x1,x2,x3,x4,x5,x6,x7,v,bitcoin,crypto
117,2021-11-24,56280.43,57569.07,56289.29,58730.48,59697.2,58119.58,56942.14,60368.01,37485803899,63,49
118,2021-11-25,57274.68,56280.43,57569.07,56289.29,58730.48,59697.2,58119.58,56942.14,36635566789,35,39
119,2021-11-26,53569.76,57274.68,56280.43,57569.07,56289.29,58730.48,59697.2,58119.58,34284016248,59,40
120,2021-11-27,54815.08,53569.76,57274.68,56280.43,57569.07,56289.29,58730.48,59697.2,41810748221,61,48
121,2021-11-28,57248.46,54815.08,53569.76,57274.68,56280.43,57569.07,56289.29,58730.48,30560857714,50,41
122,2021-11-29,57806.57,57248.46,54815.08,53569.76,57274.68,56280.43,57569.07,56289.29,28116886357,57,49
123,2021-11-30,57005.43,57806.57,57248.46,54815.08,53569.76,57274.68,56280.43,57569.07,32370840356,63,37
124,2021-12-01,57229.83,57005.43,57806.57,57248.46,54815.08,53569.76,57274.68,56280.43,36708594618,66,40
125,2021-12-02,56477.82,57229.83,57005.43,57806.57,57248.46,54815.08,53569.76,57274.68,36858195307,46,37
126,2021-12-03,53598.25,56477.82,57229.83,57005.43,57806.57,57248.46,54815.08,53569.76,32379968686,44,34
127,2021-12-04,49200.7,53598.25,56477.82,57229.83,57005.43,57806.57,57248.46,54815.08,39789134215,36,27
128,2021-12-05,49368.85,49200.7,53598.25,56477.82,57229.83,57005.43,57806.57,57248.46,61385677469,93,42
129,2021-12-06,50582.63,49368.85,49200.7,53598.25,56477.82,57229.83,57005.43,57806.57,37198201161,88,30
130,2021-12-07,50700.08,50582.63,49368.85,49200.7,53598.25,56477.82,57229.83,57005.43,37707308001,59,30
131,2021-12-08,50504.8,50700.08,50582.63,49368.85,49200.7,53598.25,56477.82,57229.83,33676814852,66,27
132,2021-12-09,47672.12,50504.8,50700.08,50582.63,49368.85,49200.7,53598.25,56477.82,28479699446,41,34
133,2021-12-10,47243.31,47672.12,50504.8,50700.08,50582.63,49368.85,49200.7,53598.25,29603577251,37,35
134,2021-12-11,49362.51,47243.31,47672.12,50504.8,50700.08,50582.63,49368.85,49200.7,30966005122,61,36
135,2021-12-12,50098.34,49362.51,47243.31,47672.12,50504.8,50700.08,50582.63,49368.85,25775869261,51,36
136,2021-12-13,46737.48,50098.34,49362.51,47243.31,47672.12,50504.8,50700.08,50582.63,21939223599,54,41
137,2021-12-14,46612.63,46737.48,50098.34,49362.51,47243.31,47672.12,50504.8,50700.08,32166727776,52,34
138,2021-12-15,48896.72,46612.63,46737.48,50098.34,49362.51,47243.31,47672.12,50504.8,34638619079,55,40
139,2021-12-16,47665.43,48896.72,46612.63,46737.48,50098.34,49362.51,47243.31,47672.12,36541828520,43,33
140,2021-12-17,46202.14,47665.43,48896.72,46612.63,46737.48,50098.34,49362.51,47243.31,27268150947,42,41
141,2021-12-18,46848.78,46202.14,47665.43,48896.72,46612.63,46737.48,50098.34,49362.51,32902725329,55,44
